location_name,lat,lon,area_cluster,is_beach,is_crowded,is_tourist_place,is_transit,hour,day_night,day_of_week,is_weekend,police_nearby,risk_harassment,risk_pickpocket,risk_scam,risk_bag_snatching,risk_theft,risk_extortion,risk_money_theft
Kandy Station,7.285627,80.637652,2,0,1,0,1,10,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Dambulla Cave,7.859083,80.644537,10,0,1,1,0,8,day,4,0,0,Low,Low,High,Low,Low,Low,Low
Ella Station,6.863653,81.046285,8,0,1,1,1,18,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.95821,80.762412,10,0,1,1,0,12,day,3,0,1,Low,Low,Medium,Low,Low,Low,Low
Polonnaruwa,7.942157,81.024972,11,0,1,1,0,5,night,4,0,0,Low,Low,High,Low,Low,Low,Low
Haputale Railway Station,6.766151,80.970825,19,0,1,1,1,5,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Hikkaduwa Beach,6.143449,80.103066,4,1,1,1,0,13,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Galle Fort,6.03314,80.212485,3,0,1,1,0,9,day,5,1,1,Low,Low,Medium,Low,Low,Low,Low
Ahungalla Beach,6.33232,80.02634,4,1,1,1,0,17,day,3,0,0,Medium,Low,Low,Low,Medium,Low,Low
Kuruduwaththa Station,6.918996,79.868789,1,0,1,0,1,8,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.837935,79.866571,9,1,1,1,1,11,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Ella Station,6.863513,81.047385,8,0,1,1,1,19,night,3,0,0,Low,High,Low,High,Low,Low,Medium
Galle Fort Market,6.029483,80.215641,3,0,1,1,0,8,day,6,1,0,Low,High,Low,Low,Low,Low,High
Pettah Station,6.943451,79.854646,1,0,1,0,1,12,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Hikkaduwa Beach,6.139625,80.100533,4,1,1,1,0,12,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Kandy Station,7.296551,80.639564,2,0,1,0,1,10,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Galle Fort Market,6.030111,80.216627,3,0,1,1,0,14,day,1,0,0,Low,High,Low,High,Low,Low,High
Kollupitiya,6.911163,79.853563,1,0,1,1,0,15,day,0,0,0,Low,High,Low,High,Low,Low,High
Bandarawela Railway Station,6.83225,80.985023,18,0,1,0,1,8,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kaluthara Beach,6.586942,79.961239,4,1,1,1,0,19,night,5,1,0,High,Low,Low,Low,Medium,Low,Low
Haputale Railway Station,6.768718,80.9724,19,0,1,1,1,6,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.034928,80.215494,3,0,1,1,0,9,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Pettah Market,6.936694,79.857058,1,0,1,1,0,18,night,2,0,0,Low,High,Low,Medium,Low,Low,Medium
Galle Fort,6.033902,80.222315,3,0,1,1,0,6,day,1,0,0,Low,Low,High,Low,Low,Low,Low
Dambulla Cave,7.853539,80.645097,10,0,1,1,0,16,day,0,0,0,Low,Medium,High,Low,Low,Low,Low
Temple of Tooth,7.293487,80.640594,2,0,1,1,0,17,day,0,0,0,Low,Medium,Medium,Low,Low,Low,Low
Galle Fort,6.03301,80.220286,3,0,1,1,0,5,night,6,1,0,Low,Low,High,Low,Low,Low,Low
Haputale Railway Station,6.75859,80.968734,19,0,1,1,1,10,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.920226,79.865194,1,0,1,0,1,6,day,3,0,1,Low,Low,Low,Medium,Low,Low,Low
Kollupitiya,6.914831,79.855085,1,0,1,1,0,14,day,0,0,0,Low,High,Low,High,Low,Low,High
Pettah Station,6.938212,79.852923,1,0,1,0,1,22,night,2,0,0,Low,Low,Low,Low,Medium,Low,Low
Galkissa Beach,6.839872,79.863044,9,1,1,1,0,17,day,4,0,0,Medium,Low,Low,Low,Medium,Low,Low
Negombo Beach,7.203174,79.836145,5,1,1,1,0,20,night,3,0,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort Market,6.02954,80.214444,3,0,1,1,0,6,day,2,0,0,Low,Medium,Low,Low,Low,Low,Medium
Dambulla Cave,7.859928,80.648364,10,0,1,1,0,12,day,5,1,1,Low,Low,Medium,Low,Low,Low,Low
Bandarawela Railway Station,6.829275,80.981259,18,0,1,0,1,11,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Unawatuna Beach,6.011601,80.251226,4,1,1,1,0,14,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Ella Station,6.865251,81.04654,8,0,1,1,1,9,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Bandarawela Railway Station,6.831006,80.986031,18,0,1,0,1,6,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Colombo Fort Station,6.933506,79.851326,1,0,1,0,1,15,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Polonnaruwa,7.943159,81.019661,11,0,1,1,0,16,day,0,0,0,Low,Medium,High,Low,Low,Low,Low
Pettah Station,6.936069,79.855326,1,0,1,0,1,1,night,3,0,0,Low,Low,Low,Low,Medium,Low,Low
Mount Lavinia Station,6.840414,79.859654,9,1,1,1,1,13,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galle Fort,6.03328,80.213717,3,0,1,1,0,10,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Ahungalla Beach,6.329608,80.024382,4,1,1,1,0,15,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Kuruduwaththa Station,6.924177,79.86925,1,0,1,0,1,18,night,6,1,0,Low,High,Low,High,Low,Low,Medium
Bandarawela Railway Station,6.830476,80.988139,18,0,1,0,1,7,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Nilaveli Beach,8.696297,81.181523,6,1,0,1,0,23,night,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Galle Fort,6.034891,80.215799,3,0,1,1,0,14,day,6,1,0,Low,Medium,High,Low,Low,Low,Low
Kandy Station,7.292578,80.636343,2,0,1,0,1,11,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Galle Fort Market,6.030814,80.218203,3,0,1,1,0,11,day,2,0,0,Low,Medium,Low,Low,Low,Low,Medium
Negombo Beach,7.215022,79.833042,5,1,1,1,0,12,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Bandarawela Railway Station,6.834703,80.991675,18,0,1,0,1,14,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Ahungalla Beach,6.327461,80.024503,4,1,1,1,0,13,day,6,1,0,Medium,Low,Low,Low,Medium,Low,Low
Bandarawela Railway Station,6.826081,80.989586,18,0,1,0,1,9,day,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Dambulla Cave,7.854913,80.652423,10,0,1,1,0,12,day,4,0,0,Low,Medium,High,Low,Low,Low,Low
Bandarawela Railway Station,6.832963,80.987736,18,0,1,0,1,13,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Hatton Railway Station,6.891108,80.597046,17,0,1,1,1,18,night,3,0,1,Low,Low,Low,Medium,Low,Low,Low
Bentota Beach,6.425944,79.994534,4,1,1,1,0,15,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort,6.030481,80.218021,3,0,1,1,0,9,day,2,0,1,Low,Low,Medium,Low,Low,Low,Low
Kollupitiya,6.916875,79.851549,1,0,1,1,0,16,day,1,0,0,Low,High,Low,High,Low,Low,High
Kandy City Centre,7.284841,80.638352,2,0,1,1,0,13,day,5,1,1,Low,Medium,Low,Low,Low,Low,Medium
Hatton Railway Station,6.892329,80.596025,17,0,1,1,1,9,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Kandy City Centre,7.295077,80.636273,2,0,1,1,0,9,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Kollupitiya,6.912616,79.848772,1,0,1,1,0,14,day,0,0,1,Low,Medium,Low,Low,Low,Low,Medium
Sigiriya,7.954433,80.763063,10,0,1,1,0,0,night,4,0,0,Low,Medium,Low,Low,Low,Low,Low
Mirissa Beach,5.945716,80.458766,4,1,1,1,0,18,night,0,0,0,Medium,Low,Low,Low,Medium,Low,Low
Bandarawela Railway Station,6.833875,80.983199,18,0,1,0,1,10,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Hikkaduwa Beach,6.136762,80.100842,4,1,1,1,0,18,night,2,0,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort Market,6.030071,80.21639,3,0,1,1,0,6,day,5,1,0,Low,High,Low,Low,Low,Low,High
Polonnaruwa,7.940566,81.019392,11,0,1,1,0,9,day,0,0,0,Low,Low,High,Low,Low,Low,Low
Temple of Tooth,7.295647,80.644712,2,0,1,1,0,4,night,2,0,0,Low,Medium,Low,Low,Low,Low,Low
Dambulla Cave,7.855048,80.644638,10,0,1,1,0,10,day,0,0,1,Low,Low,Medium,Low,Low,Low,Low
Unawatuna Beach,6.00944,80.254057,4,1,1,1,0,18,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Colombo Fort Station,6.935011,79.846784,1,0,1,0,1,14,day,2,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Ella Station,6.863132,81.051028,8,0,1,1,1,16,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galle Fort,6.032923,80.213793,3,0,1,1,0,9,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Temple of Tooth,7.293114,80.638117,2,0,1,1,0,12,day,3,0,1,Low,Low,Medium,Low,Low,Low,Low
Bentota Beach,6.433238,79.998054,4,1,1,1,0,1,night,3,0,0,High,Low,Low,Low,High,Medium,Low
Galle Fort,6.033106,80.221447,3,0,1,1,0,10,day,3,0,0,Low,Low,High,Low,Low,Low,Low
Hikkaduwa Beach,6.141294,80.103453,4,1,1,1,0,18,night,0,0,0,Medium,Low,Low,Low,Medium,Low,Low
Ella Station,6.86722,81.046832,8,0,1,1,1,17,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Bandarawela Railway Station,6.826597,80.983315,18,0,1,0,1,5,night,1,0,0,Low,High,Low,High,Low,Low,Medium
Polonnaruwa,7.93999,81.01387,11,0,1,1,0,16,day,3,0,1,Low,Low,Medium,Low,Low,Low,Low
Unawatuna Beach,6.010863,80.250392,4,1,1,1,0,21,night,0,0,1,Medium,Low,Low,Low,Low,Low,Low
Bandarawela Railway Station,6.835245,80.987473,18,0,1,0,1,13,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Bentota Beach,6.428962,79.995472,4,1,1,1,0,15,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Temple of Tooth,7.291295,80.647369,2,0,1,1,0,7,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Kollupitiya,6.909877,79.850554,1,0,1,1,0,12,day,5,1,0,Low,High,Medium,High,Low,Low,High
Hikkaduwa Beach,6.134164,80.1079,4,1,1,1,0,4,night,1,0,0,High,Low,Low,Low,High,Medium,Low
Colombo Fort Station,6.934278,79.850057,1,0,1,0,1,16,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Temple of Tooth,7.299213,80.640527,2,0,1,1,0,9,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Colombo Fort Station,6.929249,79.851814,1,0,1,0,1,10,day,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Colombo Fort Station,6.93159,79.850798,1,0,1,0,1,11,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Kandy Station,7.299199,80.634259,2,0,1,0,1,6,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.9144,79.873023,1,0,1,0,1,17,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Kandy City Centre,7.28799,80.640478,2,0,1,1,0,15,day,1,0,1,Low,Medium,Low,Low,Low,Low,Medium
Sigiriya,7.955679,80.761759,10,0,1,1,0,21,night,4,0,0,Low,Medium,Low,Low,Low,Low,Low
Ahangama Beach,5.979529,80.358607,4,1,1,1,0,12,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Ella Station,6.864004,81.042109,8,0,1,1,1,19,night,6,1,0,Low,High,Low,High,Low,Low,Medium
Kollupitiya,6.910346,79.849964,1,0,1,1,0,14,day,1,0,0,Low,High,Low,High,Low,Low,High
Unawatuna Beach,6.002987,80.250297,4,1,1,1,0,17,day,6,1,0,High,Low,Low,Low,Medium,Low,Low
Temple of Tooth,7.297507,80.637887,2,0,1,1,0,17,day,5,1,0,Low,Medium,High,Low,Low,Low,Low
Dambulla Cave,7.851364,80.649259,10,0,1,1,0,11,day,0,0,0,Low,Low,High,Low,Low,Low,Low
Kosgoda Beach,6.334343,80.015238,4,1,0,1,0,0,night,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Bentota Beach,6.423973,79.995802,4,1,1,1,0,22,night,1,0,0,High,Low,Low,Low,High,Medium,Low
Kandy Station,7.287723,80.632967,2,0,1,0,1,10,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Kuruduwaththa Station,6.918607,79.871386,1,0,1,0,1,10,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Kollupitiya,6.912907,79.854267,1,0,1,1,0,14,day,5,1,1,Low,Medium,Low,Low,Low,Low,Medium
Kandy Station,7.293156,80.632575,2,0,1,0,1,15,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Negombo Beach,7.210055,79.840005,5,1,1,1,0,21,night,0,0,0,High,Low,Low,Low,High,Medium,Low
Pettah Station,6.941451,79.850491,1,0,1,0,1,9,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Pettah Market,6.938348,79.854551,1,0,1,1,0,12,day,4,0,0,Low,High,Low,High,Low,Low,High
Haputale Railway Station,6.765738,80.972086,19,0,1,1,1,20,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Hatton Railway Station,6.890025,80.5942,17,0,1,1,1,10,day,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Galle Fort Market,6.030219,80.219037,3,0,1,1,0,16,day,4,0,0,Low,High,Low,High,Low,Low,High
Galle Fort,6.032783,80.218806,3,0,1,1,0,11,day,1,0,0,Low,Low,High,Low,Low,Low,Low
Ella Station,6.868787,81.048647,8,0,1,1,1,11,day,0,0,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.958402,80.759849,10,0,1,1,0,5,night,4,0,1,Low,Low,Medium,Low,Low,Low,Low
Kuruduwaththa Station,6.922096,79.871263,1,0,1,0,1,8,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Ella Station,6.86024,81.049391,8,0,1,1,1,7,day,6,1,1,Low,Medium,Low,Medium,Low,Low,Low
Bandarawela Railway Station,6.83458,80.987651,18,0,1,0,1,9,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Hikkaduwa Beach,6.144436,80.104084,4,1,1,1,0,20,night,0,0,0,Medium,Low,Low,Low,Medium,Low,Low
Unawatuna Beach,6.007712,80.245642,4,1,1,1,0,14,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Kandy Station,7.291012,80.639601,2,0,1,0,1,5,night,5,1,0,Low,High,Low,High,Low,Low,Medium
Ahangama Beach,5.973132,80.361655,4,1,1,1,0,21,night,5,1,1,Medium,Low,Low,Low,Low,Low,Low
Hatton Railway Station,6.892731,80.597354,17,0,1,1,1,5,night,4,0,0,Low,High,Low,High,Low,Low,Medium
Ahungalla Beach,6.326009,80.020327,4,1,1,1,0,16,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Mirissa Beach,5.947322,80.458508,4,1,1,1,0,14,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Dambulla Cave,7.859134,80.644855,10,0,1,1,0,15,day,5,1,0,Low,Medium,High,Low,Low,Low,Low
Ella Station,6.869842,81.049609,8,0,1,1,1,11,day,0,0,1,Low,Low,Low,Medium,Low,Low,Low
Mirissa Beach,5.942107,80.459843,4,1,1,1,0,12,day,6,1,0,Medium,Low,Low,Low,Medium,Low,Low
Kandy Station,7.296273,80.633998,2,0,1,0,1,8,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.038049,80.220944,3,0,1,1,0,14,day,1,0,0,Low,Medium,High,Low,Low,Low,Low
Kollupitiya,6.913191,79.85079,1,0,1,1,0,8,day,6,1,0,Low,High,Low,Low,Low,Low,High
Pettah Station,6.937149,79.852928,1,0,1,0,1,9,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Unawatuna Beach,6.010598,80.247553,4,1,1,1,0,16,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Galle Fort Market,6.030347,80.212987,3,0,1,1,0,16,day,5,1,0,Low,High,Medium,High,Low,Low,High
Ella Station,6.869919,81.053192,8,0,1,1,1,9,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Kollupitiya,6.910684,79.852079,1,0,1,1,0,15,day,3,0,0,Low,High,Low,High,Low,Low,High
Mount Lavinia Station,6.846778,79.863,9,1,1,1,1,20,night,0,0,0,Low,High,Low,High,Low,Low,Medium
Dambulla Cave,7.855221,80.652631,10,0,1,1,0,15,day,2,0,0,Low,Medium,High,Low,Low,Low,Low
Ahangama Beach,5.975971,80.36432,4,1,1,1,0,17,day,5,1,0,High,Low,Low,Low,Medium,Low,Low
Pettah Station,6.938506,79.853163,1,0,1,0,1,10,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.849647,79.869034,9,1,1,1,1,10,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Kollupitiya,6.916146,79.851642,1,0,1,1,0,10,day,6,1,0,Low,High,Low,Low,Low,Low,High
Mount Lavinia Station,6.840424,79.866284,9,1,1,1,1,10,day,4,0,1,Low,Low,Low,Medium,Low,Low,Low
Hikkaduwa Beach,6.140111,80.100746,4,1,1,1,0,13,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Mount Lavinia Station,6.842221,79.862521,9,1,1,1,1,8,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Kandy Station,7.295827,80.637755,2,0,1,0,1,12,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Kuruduwaththa Station,6.917871,79.866224,1,0,1,0,1,6,day,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Haputale Railway Station,6.762567,80.965006,19,0,1,1,1,8,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.843864,79.871565,9,1,1,1,1,11,day,3,0,0,Low,High,Low,High,Low,Low,Medium
Temple of Tooth,7.285893,80.64111,2,0,1,1,0,19,night,5,1,0,Low,Medium,High,Low,Low,Low,Low
Kandy City Centre,7.290858,80.638057,2,0,1,1,0,14,day,0,0,0,Low,High,Low,High,Low,Low,High
Kaluthara Beach,6.582714,79.959476,4,1,1,1,0,15,day,1,0,0,Medium,Low,Low,Low,Low,Low,Low
Mount Lavinia Station,6.843375,79.864596,9,1,1,1,1,8,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Negombo Beach,7.216662,79.832464,5,1,1,1,0,14,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Pettah Station,6.940342,79.860276,1,0,1,0,1,18,night,6,1,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.840672,79.865474,9,1,1,1,1,5,night,6,1,0,Low,High,Low,High,Low,Low,Medium
Haputale Railway Station,6.76488,80.967334,19,0,1,1,1,10,day,5,1,1,Low,Medium,Low,Medium,Low,Low,Low
Ahangama Beach,5.976291,80.367125,4,1,1,1,0,15,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Galle Fort Market,6.030855,80.213287,3,0,1,1,0,12,day,0,0,0,Low,High,Low,High,Low,Low,High
Dambulla Cave,7.856951,80.652531,10,0,1,1,0,7,day,5,1,1,Low,Low,Medium,Low,Low,Low,Low
Polonnaruwa,7.94119,81.02019,11,0,1,1,0,20,night,5,1,0,Low,Medium,High,Low,Low,Low,Low
Galkissa Beach,6.8459,79.868515,9,1,1,1,0,19,night,4,0,0,Medium,Low,Low,Low,Medium,Low,Low
Galle Fort,6.030257,80.214844,3,0,1,1,0,10,day,1,0,0,Low,Low,High,Low,Low,Low,Low
Haputale Railway Station,6.765588,80.962483,19,0,1,1,1,20,night,4,0,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.954177,80.764258,10,0,1,1,0,18,night,5,1,0,Low,Medium,High,Low,Low,Low,Low
Galkissa Beach,6.838826,79.867864,9,1,1,1,0,15,day,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Kollupitiya,6.916492,79.847155,1,0,1,1,0,8,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Bandarawela Railway Station,6.833945,80.982102,18,0,1,0,1,17,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Ahangama Beach,5.975637,80.362394,4,1,1,1,0,19,night,2,0,0,Medium,Low,Low,Low,Medium,Low,Low
Nilaveli Beach,8.69695,81.182568,6,1,0,1,0,2,night,2,0,0,Medium,Low,Low,Low,Low,Low,Low
Hatton Railway Station,6.892702,80.601794,17,0,1,1,1,10,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Sigiriya,7.958766,80.763687,10,0,1,1,0,16,day,0,0,1,Low,Low,Medium,Low,Low,Low,Low
Haputale Railway Station,6.767448,80.969835,19,0,1,1,1,13,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Ella Station,6.8682,81.041902,8,0,1,1,1,20,night,6,1,0,Low,High,Low,High,Low,Low,Medium
Mount Lavinia Station,6.841903,79.859,9,1,1,1,1,8,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Polonnaruwa,7.946162,81.017283,11,0,1,1,0,15,day,3,0,0,Low,Medium,High,Low,Low,Low,Low
Negombo Beach,7.214688,79.835811,5,1,1,1,0,15,day,5,1,0,Medium,Low,Low,Low,Medium,Low,Low
Polonnaruwa,7.938073,81.017344,11,0,1,1,0,14,day,4,0,0,Low,Medium,High,Low,Low,Low,Low
Pettah Market,6.941189,79.851161,1,0,1,1,0,12,day,5,1,0,Low,High,Medium,High,Low,Low,High
Kandy City Centre,7.292895,80.638827,2,0,1,1,0,2,night,5,1,0,Low,Medium,Low,Low,Medium,Low,Low
Ahungalla Beach,6.331362,80.025662,4,1,1,1,0,18,night,5,1,0,High,Low,Low,Low,Medium,Low,Low
Kollupitiya,6.914478,79.848645,1,0,1,1,0,6,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Kandy City Centre,7.292351,80.637211,2,0,1,1,0,22,night,6,1,0,Low,Medium,Low,Low,Medium,Low,Low
Pettah Market,6.938731,79.853076,1,0,1,1,0,22,night,5,1,0,Low,Medium,Low,Low,Medium,Low,Low
Unawatuna Beach,6.00849,80.245812,4,1,1,1,0,15,day,0,0,0,Medium,Low,Low,Low,Low,Low,Low
Bandarawela Railway Station,6.833185,80.984128,18,0,1,0,1,7,day,2,0,1,Low,Low,Low,Medium,Low,Low,Low
Haputale Railway Station,6.767749,80.963688,19,0,1,1,1,9,day,4,0,0,Low,High,Low,High,Low,Low,Medium
Galle Fort Market,6.028658,80.214201,3,0,1,1,0,9,day,6,1,0,Low,High,Low,Low,Low,Low,High
Kandy City Centre,7.299398,80.640242,2,0,1,1,0,17,day,6,1,0,Low,High,Low,Medium,Low,Low,High
Mirissa Beach,5.947881,80.452517,4,1,1,1,0,18,night,6,1,0,High,Low,Low,Low,Medium,Low,Low
Hatton Railway Station,6.894554,80.5964,17,0,1,1,1,11,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Galle Fort,6.038512,80.221678,3,0,1,1,0,12,day,5,1,0,Low,Medium,High,Low,Low,Low,Low
Polonnaruwa,7.941187,81.01425,11,0,1,1,0,10,day,5,1,0,Low,Low,High,Low,Low,Low,Low
Galkissa Beach,6.838646,79.864608,9,1,1,1,0,13,day,6,1,0,Medium,Low,Low,Low,Medium,Low,Low
Ella Station,6.865106,81.047552,8,0,1,1,1,15,day,1,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Galle Fort Market,6.022639,80.214946,3,0,1,1,0,6,day,3,0,0,Low,Medium,Low,Low,Low,Low,Medium
Kollupitiya,6.907985,79.843638,1,0,1,1,0,16,day,1,0,0,Low,High,Low,High,Low,Low,High
Bandarawela Railway Station,6.829821,80.989965,18,0,1,0,1,18,night,1,0,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.920424,79.863608,1,0,1,0,1,14,day,6,1,0,Low,Medium,Low,High,Low,Low,Medium
Haputale Railway Station,6.768225,80.978479,19,0,1,1,1,5,night,0,0,1,Low,Low,Low,Medium,Low,Low,Low
Kaluthara Beach,6.579148,79.965874,4,1,1,1,0,18,night,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Unawatuna Beach,6.009551,80.24631,4,1,1,1,0,17,day,3,0,0,Medium,Low,Low,Low,Medium,Low,Low
Unawatuna Beach,6.009194,80.250775,4,1,1,1,0,17,day,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Kaluthara Beach,6.587457,79.966246,4,1,1,1,0,20,night,3,0,0,Medium,Low,Low,Low,Medium,Low,Low
Ella Station,6.866994,81.049988,8,0,1,1,1,17,day,1,0,1,Low,Low,Low,Medium,Low,Low,Low
Ella Station,6.866116,81.045907,8,0,1,1,1,21,night,5,1,0,Low,Low,Low,Medium,Medium,Low,Low
Kandy Station,7.292551,80.635644,2,0,1,0,1,14,day,5,1,0,Low,Medium,Low,High,Low,Low,Medium
Dambulla Cave,7.854032,80.651166,10,0,1,1,0,9,day,6,1,0,Low,Low,High,Low,Low,Low,Low
Galle Fort Market,6.031528,80.221118,3,0,1,1,0,23,night,2,0,0,Low,Low,Low,Low,Medium,Low,Low
Hatton Railway Station,6.889888,80.596811,17,0,1,1,1,11,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Kuruduwaththa Station,6.920972,79.866557,1,0,1,0,1,7,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Ahungalla Beach,6.330318,80.025432,4,1,1,1,0,16,day,4,0,0,Medium,Low,Low,Low,Low,Low,Low
Dambulla Cave,7.853853,80.653542,10,0,1,1,0,11,day,6,1,1,Low,Low,Medium,Low,Low,Low,Low
Bandarawela Railway Station,6.829813,80.98263,18,0,1,0,1,11,day,6,1,0,Low,High,Low,High,Low,Low,Medium
Ahungalla Beach,6.320963,80.022894,4,1,1,1,0,14,day,3,0,0,Medium,Low,Low,Low,Low,Low,Low
Bandarawela Railway Station,6.834134,80.986117,18,0,1,0,1,10,day,5,1,0,Low,High,Low,High,Low,Low,Medium
Mirissa Beach,5.94833,80.458899,4,1,1,1,0,18,night,4,0,0,Medium,Low,Low,Low,Medium,Low,Low
Ella Station,6.866332,81.04638,8,0,1,1,1,13,day,3,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Pasikuda Beach,7.937849,81.551806,6,1,0,1,0,3,night,5,1,0,Medium,Low,Low,Low,Low,Low,Low
Kandy City Centre,7.291044,80.638032,2,0,1,1,0,7,day,4,0,0,Low,Medium,Low,Low,Low,Low,Medium
Pettah Station,6.939219,79.858977,1,0,1,0,1,10,day,2,0,0,Low,High,Low,High,Low,Low,Medium
Negombo Beach,7.204242,79.827304,5,1,1,1,0,18,night,1,0,0,Medium,Low,Low,Low,Medium,Low,Low
Dambulla Cave,7.851091,80.647134,10,0,1,1,0,20,night,0,0,0,Low,Medium,Medium,Low,Low,Low,Low
Ella Station,6.867271,81.047448,8,0,1,1,1,13,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Pettah Station,6.939677,79.856341,1,0,1,0,1,16,day,0,0,0,Low,Medium,Low,Medium,Low,Low,Medium
Ahangama Beach,5.970712,80.36268,4,1,1,1,0,14,day,6,1,0,Medium,Low,Low,Low,Medium,Low,Low
